id_venda,data,regiao,categoria,produto,quantidade,preco_unitario,faturamento,custo,margem,canal,pagamento
1,2024-11-23,Norte,Limpeza,Sabao em Po,4,15.64,62.56,37.57,24.99,Delivery,Pix
2,2024-10-29,Centro-Oeste,Alimentos,Feijao,4,8.68,34.72,20.32,14.4,Loja Fisica,Pix
3,2024-10-06,Centro-Oeste,Bebidas,Agua,1,2.68,2.68,1.64,1.04,Loja Fisica,Cartao
4,2024-04-20,Sul,Bebidas,Refrigerante,7,7.05,49.35,36.99,12.36,Loja Fisica,Dinheiro
5,2024-08-23,Sudeste,Utilidades,Pano Multiuso,2,6.9,13.8,10.29,3.51,Loja Fisica,Dinheiro
6,2024-10-22,Nordeste,Alimentos,Feijao,5,9.49,47.45,35.64,11.81,E-commerce,Cartao
7,2024-08-20,Sudeste,Bebidas,Agua,6,2.4,14.4,9.12,5.28,E-commerce,Pix
8,2024-11-07,Sudeste,Higiene,Shampoo,3,15.09,45.27,28.7,16.57,E-commerce,Pix
9,2024-04-22,Sudeste,Limpeza,Detergente,4,2.93,11.72,8.68,3.04,Loja Fisica,Cartao
10,2024-10-17,Sul,Bebidas,Energetico,7,10.86,76.02,53.87,22.15,Loja Fisica,Cartao
11,2024-10-14,Sudeste,Limpeza,Agua Sanitaria,10,5.4,54.0,33.69,20.31,E-commerce,Pix
12,2024-02-16,Sudeste,Limpeza,Sabao em Po,11,15.71,172.81,123.75,49.06,Loja Fisica,Cartao
13,2024-11-01,Sul,Higiene,Papel Higienico,1,19.96,19.96,12.03,7.93,E-commerce,Dinheiro
14,2024-11-24,Centro-Oeste,Alimentos,Feijao,8,7.83,62.64,45.38,17.26,Delivery,Boleto
15,2024-04-01,Sudeste,Alimentos,Macarrao,11,5.31,58.41,36.2,22.21,Loja Fisica,Cartao
16,2024-09-28,Sul,Higiene,Desodorante,1,10.84,10.84,7.07,3.77,E-commerce,Dinheiro
17,2024-05-02,Norte,Limpeza,Detergente,2,2.88,5.76,4.28,1.48,E-commerce,Pix
18,2024-03-05,Nordeste,Bebidas,Cha Gelado,3,5.64,16.92,12.77,4.15,Loja Fisica,Cartao
19,2024-10-03,Sudeste,Higiene,Creme Dental,7,6.94,48.58,34.49,14.09,Loja Fisica,Pix
20,2024-03-02,Nordeste,Alimentos,Arroz,10,25.67,256.7,179.1,77.6,Loja Fisica,Pix
21,2024-01-31,Nordeste,Utilidades,Saco de Lixo,2,8.59,17.18,10.92,6.26,Loja Fisica,Pix
22,2024-10-19,Sudeste,Alimentos,Acucar,7,4.6,32.2,19.3,12.9,Loja Fisica,Cartao
23,2024-08-27,Sul,Alimentos,Arroz,1,24.91,24.91,16.14,8.77,E-commerce,Cartao
24,2024-04-07,Sudeste,Alimentos,Feijao,5,8.61,43.05,32.5,10.55,Loja Fisica,Dinheiro
25,2024-10-08,Norte,Higiene,Papel Higienico,1,21.05,21.05,16.11,4.94,E-commerce,Cartao
26,2024-09-05,Sudeste,Limpeza,Detergente,3,2.69,8.07,6.27,1.8,Loja Fisica,Dinheiro
27,2024-08-20,Nordeste,Higiene,Papel Higienico,11,20.1,221.1,135.08,86.02,Loja Fisica,Boleto
28,2024-10-23,Sudeste,Alimentos,Macarrao,1,4.84,4.84,3.27,1.57,E-commerce,Pix
29,2024-01-30,Sul,Alimentos,Feijao,2,8.83,17.66,12.63,5.03,Loja Fisica,Cartao
30,2024-10-18,Nordeste,Higiene,Papel Higienico,2,18.97,37.94,26.43,11.51,Loja Fisica,Boleto
31,2024-04-14,Sudeste,Bebidas,Agua,7,2.37,16.59,11.76,4.83,Loja Fisica,Boleto
32,2024-02-07,Norte,Higiene,Papel Higienico,2,17.66,35.32,21.99,13.33,Loja Fisica,Boleto
33,2024-02-05,Sul,Bebidas,Suco,8,7.5,60.0,43.24,16.76,Loja Fisica,Boleto
34,2024-11-30,Sudeste,Higiene,Papel Higienico,5,20.91,104.55,62.8,41.75,E-commerce,Cartao
35,2024-02-24,Sudeste,Alimentos,Macarrao,10,5.0,50.0,32.43,17.57,Delivery,Dinheiro
36,2024-09-15,Sudeste,Utilidades,Pilhas,2,13.5,27.0,20.14,6.86,Loja Fisica,Cartao
37,2024-03-07,Sudeste,Alimentos,Acucar,9,5.09,45.81,31.71,14.1,Loja Fisica,Boleto
38,2024-12-19,Sul,Higiene,Creme Dental,10,6.39,63.9,42.55,21.35,Loja Fisica,Cartao
39,2024-01-21,Sul,Alimentos,Feijao,11,7.99,87.89,64.69,23.2,E-commerce,Cartao
40,2024-11-13,Sudeste,Utilidades,Lampada,3,10.59,31.77,23.58,8.19,E-commerce,Cartao
41,2024-06-19,Sudeste,Bebidas,Suco,5,6.57,32.85,23.66,9.19,Loja Fisica,Cartao
42,2024-08-28,Nordeste,Limpeza,Agua Sanitaria,6,5.3,31.8,23.5,8.3,Loja Fisica,Cartao
43,2024-04-08,Centro-Oeste,Alimentos,Arroz,5,24.66,123.3,84.08,39.22,Delivery,Dinheiro
44,2024-06-18,Sul,Alimentos,Macarrao,3,5.39,16.17,12.56,3.61,Loja Fisica,Pix
45,2024-06-25,Sudeste,Bebidas,Cha Gelado,9,5.47,49.23,37.41,11.82,Loja Fisica,Cartao
46,2024-08-11,Norte,Utilidades,Filtro de Cafe,11,5.43,59.73,43.51,16.22,Delivery,Cartao
47,2024-02-05,Sul,Utilidades,Filtro de Cafe,6,5.37,32.22,19.49,12.73,E-commerce,Pix
48,2024-12-07,Centro-Oeste,Bebidas,Agua,9,2.36,21.24,14.11,7.13,E-commerce,Pix
49,2024-03-30,Sudeste,Bebidas,Cha Gelado,1,5.69,5.69,3.54,2.15,Delivery,Pix
50,2024-06-13,Sudeste,Bebidas,Suco,9,7.0,63.0,47.89,15.11,Delivery,Cartao
51,2024-02-13,Nordeste,Higiene,Papel Higienico,6,17.74,106.44,82.0,24.44,Loja Fisica,Cartao
52,2024-04-11,Nordeste,Alimentos,Acucar,10,5.23,52.3,31.1,21.2,Loja Fisica,Pix
53,2024-04-09,Sudeste,Bebidas,Energetico,4,9.4,37.6,26.98,10.62,E-commerce,Dinheiro
54,2024-02-24,Sudeste,Alimentos,Cafe,8,16.65,133.2,83.89,49.31,E-commerce,Cartao
55,2024-08-25,Sudeste,Utilidades,Filtro de Cafe,6,5.66,33.96,25.75,8.21,Loja Fisica,Pix
56,2024-09-15,Centro-Oeste,Utilidades,Pano Multiuso,3,7.16,21.48,14.5,6.98,Loja Fisica,Cartao
57,2024-11-22,Nordeste,Limpeza,Agua Sanitaria,11,5.23,57.53,38.43,19.1,Delivery,Cartao
58,2024-06-20,Nordeste,Higiene,Shampoo,3,14.4,43.2,31.05,12.15,Delivery,Cartao
59,2024-07-27,Centro-Oeste,Bebidas,Refrigerante,4,8.15,32.6,21.45,11.15,Delivery,Boleto
60,2024-01-11,Sul,Limpeza,Agua Sanitaria,8,4.97,39.76,25.86,13.9,Delivery,Dinheiro
61,2024-08-02,Sudeste,Limpeza,Esponja,4,2.24,8.96,5.69,3.27,Loja Fisica,Cartao
62,2024-12-08,Sudeste,Bebidas,Suco,8,7.62,60.96,47.31,13.65,Loja Fisica,Dinheiro
63,2024-10-30,Sudeste,Alimentos,Acucar,3,5.25,15.75,9.71,6.04,Loja Fisica,Cartao
64,2024-08-20,Centro-Oeste,Limpeza,Agua Sanitaria,5,5.78,28.9,21.57,7.33,Loja Fisica,Cartao
65,2024-01-10,Sudeste,Alimentos,Macarrao,4,5.46,21.84,16.08,5.76,Delivery,Dinheiro
66,2024-05-06,Nordeste,Alimentos,Feijao,4,8.03,32.12,22.93,9.19,Loja Fisica,Cartao
